;n_nulos
IDENTIDADDEGENERO;2861
ORIENTACIONSEXUAL;2861
BARRERAS_FISICAS_VIVIENDA;2861
BARRERAS_FISICAS_ESPACIO_PUBLICO;2861
BARRERAS_FISICAS_TRANSPORTE_PUBLICO;2861
BARRERAS_FISICAS_EDIFICACIONES;2861
BARRERAS_FISICAS_SIN_BARRERAS;2861
BARRERAS_FISICAS_SIN_DATO;2861
ASISTEAREHABILITACION;2861
REQUIEREAYUDADEOTRAPERSONA;2861
FUENTEINGRESOS;2861
REHAB_MEDICINA_FISICA;2861
REHAB_FISIOTERAPIA;2861
REHAB_FONOAUDIOLOGIA;2861
REHAB_TERAPIA_OCUPACIONAL;2861
REHAB_PSICOLOGIA;2861
REHAB_PSIQUIATRIA;2861
REHAB_OPTOMETRIA;2861
REHAB_TRABAJO_SOCIAL;2861
REHAB_OTROS;2861
REHAB_SIN_DATO;2861
DISPOSITIVOS_MOVILIDAD;2861
DISPOSITIVOS_VISION;2861
DISPOSITIVOS_AUDICION;2861
DISPOSITIVOS_BASTON_ORIENTACION;2861
DISPOSITIVOS_ORTESIS_PROTESIS;2861
DISPOSITIVOS_SIN_DATO;2861
NIVELEDUCATIVO;2861
BARRERA_TIC;2861
BARRERA_ESPACIO_PUBLICO;2861
BARRERA_TRANSPORTE_PUBLICO;2861
BARRERA_ENTIDADES_SALUD;2861
BARRERA_ENTIDADES_EDUCATIVAS;2861
BARRERA_ATENCION_PUBLICO;2861
BARRERA_MEDIOS_COMUNICACION;2861
SIN_BARRERA_INFORMACION;2861
SIN_BARRERA_SIN_DATO;2861
