NOMBRE_LOCALIDAD;truncadas;completas;diferencia_pp
Suba;22.93;12.39;10.54
Chapinero;6.08;1.04;5.04
San Cristóbal;11.85;6.84;5.0
Teusaquillo;4.58;1.26;3.32
Usaquén;6.99;4.62;2.37
Fontibón;5.59;3.96;1.63
Barrios Unidos;2.76;1.61;1.15
Los Mártires;2.13;0.99;1.14
Localidad Desconocida;0.8;0.7;0.1
La Candelaria;0.24;0.24;0.01
Sumapaz;0.03;0.16;-0.12
Santa Fe;1.26;1.55;-0.3
Traslados;3.08;3.39;-0.32
Engativá;8.88;9.34;-0.46
Antonio Nariño;0.56;1.09;-0.53
Puente Aranda;2.17;3.02;-0.85
Tunjuelito;1.36;2.65;-1.29
Rafael Uribe Uribe;2.83;5.33;-2.49
Usme;2.94;6.52;-3.58
Kennedy;6.68;12.73;-6.06
Ciudad Bolívar;3.08;9.63;-6.55
Bosa;3.18;10.93;-7.75
