COD_LOC;requieren_ayuda;TCC;POBLACION;NOMBRE_LOCALIDAD;DC;n_cuidado;base_suficiente;pct_del_total
1;1447;0.354;586366;Usaquén;35.319;1447.0;True;4.795
2;311;0.275;162226;Chapinero;33.804;311.0;True;1.031
3;460;0.585;113327;Santa Fe;33.406;460.0;True;1.524
4;2242;0.812;394779;San Cristóbal;36.972;2242.0;True;7.43
5;2425;0.882;401629;Usme;41.977;2425.0;True;8.036
6;872;0.708;176572;Tunjuelito;37.154;872.0;True;2.89
7;3362;0.638;773327;Bosa;34.71;3362.0;True;11.142
8;3705;0.484;1104934;Kennedy;32.846;3705.0;True;12.278
9;979;0.363;385603;Fontibón;27.916;979.0;True;3.244
10;2934;0.505;831376;Engativá;35.46;2934.0;True;9.723
11;4166;0.479;1252218;Suba;37.942;4166.0;True;13.806
12;482;0.507;136620;Barrios Unidos;33.754;482.0;True;1.597
13;345;0.319;155083;Teusaquillo;31.025;345.0;True;1.143
14;285;0.541;75471;Los Mártires;32.534;285.0;False;0.944
15;336;0.614;80010;Antonio Nariño;34.675;336.0;True;1.114
16;859;0.492;249985;Puente Aranda;32.1;859.0;True;2.847
17;70;0.598;17177;La Candelaria;33.333;70.0;False;0.232
18;1681;0.639;376325;Rafael Uribe Uribe;35.63;1681.0;True;5.571
19;3190;0.679;690843;Ciudad Bolívar;37.393;3190.0;True;10.572
20;24;1.046;3385;Sumapaz;17.391;24.0;False;0.08
