NOMBRE_LOCALIDAD;n_cuidado;IFC;CCM;CSR;n_adultos;certificados;DC;IFC_std;base_suficiente;pct_superior;pct_ingreso_trabajo
Antonio Nariño;336.0;88.1;54.17;48.11;106.0;969.0;34.67;88.54;True;8.88;17.96
Barrios Unidos;482.0;82.57;45.02;40.94;149.0;1428.0;33.75;82.61;True;18.42;18.49
Bosa;3362.0;87.36;57.32;40.7;1091.0;9686.0;34.71;86.93;True;3.17;12.91
Chapinero;311.0;83.92;47.27;44.34;106.0;920.0;33.8;84.65;True;28.48;21.74
Ciudad Bolívar;3190.0;88.46;57.08;43.19;1028.0;8531.0;37.39;88.1;True;2.84;12.87
Engativá;2934.0;81.25;50.1;39.56;958.0;8274.0;35.46;81.7;True;11.53;15.64
Fontibón;979.0;85.6;55.36;42.71;288.0;3507.0;27.92;85.24;True;13.72;17.51
Kennedy;3705.0;87.1;58.46;43.24;1087.0;11280.0;32.85;86.36;True;8.18;15.19
Puente Aranda;859.0;82.42;47.85;42.91;268.0;2676.0;32.1;83.37;True;11.17;15.84
Rafael Uribe Uribe;1681.0;87.51;52.23;45.71;560.0;4718.0;35.63;87.9;True;3.88;14.41
San Cristóbal;2242.0;84.03;50.09;38.54;794.0;6064.0;36.97;84.61;True;3.84;13.93
Santa Fe;460.0;81.52;44.78;37.17;191.0;1377.0;33.41;82.83;True;6.46;15.54
Suba;4166.0;83.75;54.06;40.78;1285.0;10980.0;37.94;83.41;True;13.32;16.12
Teusaquillo;345.0;82.03;43.77;46.94;98.0;1112.0;31.03;83.71;True;31.21;23.2
Tunjuelito;872.0;86.47;56.42;47.02;319.0;2347.0;37.15;86.36;True;5.33;14.27
Usaquén;1447.0;85.0;53.84;46.67;405.0;4097.0;35.32;85.18;True;24.43;18.55
Usme;2425.0;88.25;57.86;43.98;839.0;5777.0;41.98;88.0;True;2.34;12.46
