NOMBRE_LOCALIDAD;n_cuidado;IFC;CCM;CSR;n_adultos;certificados;DC;IFC_std;base_suficiente
Antonio Nariño;336.0;88.1;54.17;48.11;106.0;969.0;34.67;88.54;True
Barrios Unidos;482.0;82.57;45.02;40.94;149.0;1428.0;33.75;82.61;True
Bosa;3362.0;87.36;57.32;40.7;1091.0;9686.0;34.71;86.93;True
Chapinero;311.0;83.92;47.27;44.34;106.0;920.0;33.8;84.65;True
Ciudad Bolívar;3190.0;88.46;57.08;43.19;1028.0;8531.0;37.39;88.1;True
Engativá;2934.0;81.25;50.1;39.56;958.0;8274.0;35.46;81.7;True
Fontibón;979.0;85.6;55.36;42.71;288.0;3507.0;27.92;85.24;True
Kennedy;3705.0;87.1;58.46;43.24;1087.0;11280.0;32.85;86.36;True
La Candelaria;70.0;81.43;41.43;25.0;24.0;210.0;33.33;75.0;False
Los Mártires;285.0;79.65;50.88;44.05;84.0;876.0;32.53;80.29;False
Puente Aranda;859.0;82.42;47.85;42.91;268.0;2676.0;32.1;83.37;True
Rafael Uribe Uribe;1681.0;87.51;52.23;45.71;560.0;4718.0;35.63;87.9;True
San Cristóbal;2242.0;84.03;50.09;38.54;794.0;6064.0;36.97;84.61;True
Santa Fe;460.0;81.52;44.78;37.17;191.0;1377.0;33.41;82.83;True
Suba;4166.0;83.75;54.06;40.78;1285.0;10980.0;37.94;83.41;True
Sumapaz;24.0;75.0;16.67;0.0;2.0;138.0;17.39;;False
Teusaquillo;345.0;82.03;43.77;46.94;98.0;1112.0;31.03;83.71;True
Tunjuelito;872.0;86.47;56.42;47.02;319.0;2347.0;37.15;86.36;True
Usaquén;1447.0;85.0;53.84;46.67;405.0;4097.0;35.32;85.18;True
Usme;2425.0;88.25;57.86;43.98;839.0;5777.0;41.98;88.0;True
